source,participant-id,timestamp,sedentary-minutes,lightly-active-minutes,fairly-active-minutes,very-active-minutes,sedentary-active-distance,light-active-distance,moderately-active-distance,very-active-distance
fitbit,5553957443,1462665600.0,505,210,8,3,0,3.29999995231628,0.469999998807907,0.219999998807907
fitbit,5553957443,1462752000.0,667,251,22,59,0,4.55999994277954,0.889999985694885,2.13000011444092
fitbit,5553957443,1462838400.0,707,265,40,61,0,5.19999980926514,1.61000001430511,3.86999988555908
fitbit,5553957443,1462924800.0,628,195,0,0,0,3.22000002861023,0,0
fitbit,5553957443,1463011200.0,222,48,6,8,0,1.05999994277954,0.400000005960464,0.579999983310699
fitbit,5577150313,1460419200.0,728,140,16,86,0,2.09999990463257,0.379999995231628,3.59999990463257
fitbit,5577150313,1460505600.0,776,144,11,15,0,3.25,0.219999998807907,0.319999992847443
fitbit,5577150313,1460592000.0,662,176,30,118,0,2.77999997138977,0.310000002384186,3.32999992370605
fitbit,5577150313,1460678400.0,695,199,54,115,0,3.55999994277954,1.60000002384186,3.92000007629395
fitbit,5577150313,1460764800.0,472,158,56,184,0,2.73000001907349,1.27999997138977,6.6399998664856
fitbit,5577150313,1460851200.0,525,159,37,200,0,2.3199999332428,0.829999983310699,5.98000001907349
fitbit,5577150313,1460937600.0,623,130,32,114,0,1.82000005245209,0.720000028610229,4.8600001335144
fitbit,5577150313,1461024000.0,733,111,23,108,0,1.75999999046326,0.639999985694885,7.01999998092651
fitbit,5577150313,1461110400.0,773,113,16,87,0,1.75999999046326,0.340000003576279,4.11999988555908
fitbit,5577150313,1461196800.0,670,175,74,110,0,2.77999997138977,1.6599999666214,3.65000009536743
fitbit,5577150313,1461283200.0,823,200,30,62,0,3.29999995231628,0.790000021457672,2.42000007629395
fitbit,5577150313,1461369600.0,627,223,24,24,0,4.1399998664856,0.360000014305115,1.21000003814697
fitbit,5577150313,1461456000.0,425,141,65,210,0,1.98000001907349,2.15000009536743,7.65000009536743
fitbit,5577150313,1461542400.0,743,214,38,61,0,2.75999999046326,0.670000016689301,1.35000002384186
fitbit,5577150313,1461628800.0,759,181,32,38,0,2.47000002861023,0.649999976158142,0.850000023841858
fitbit,5577150313,1461715200.0,773,190,16,63,0,2.9300000667572,0.400000005960464,1.80999994277954
fitbit,5577150313,1461801600.0,692,141,51,99,0,3.00999999046326,1.16999995708466,3.25
